Documento,Nombre,Apellido,Genero,Fecha de Nacimiento
73756152,Ángel,Chávez,masculino,28-Dic-32
68187140,Lidia,Villaseñor,femenino,21-Ago-33
60365031,Luján,Valdés,masculino,23-Ene-32
31738263,Odiseo,Liébanas,masculino,6-Feb-31
58947338,Bautista,Porras,femenino,25-Jun-29
40257230,Tamara,González,femenino,2-Jun-33
55957532,Inés,Calvillo,femenino,3-May-32
74735247,Paz,Montes,femenino,31-Dic-31
61348124,Nieves,Jasón,masculino,11-Ago-33
47837722,Amadeo,Rocha,masculino,15-Mar-32
29488327,Diana,García,femenino,20-Feb-30
50148777,Eric,Ruiz,masculino,20-Ago-32
55564362,Isabel,Bermúdez,femenino,24-Nov-33
96997382,Vanesa,Cepeda,femenino,24-Nov-30
92238430,Iván,Girón,masculino,8-Ene-33
84295943,Santiago,Núñez,masculino,1-Jul-33
52994476,Maro,Castro,masculino,11-May-30
23636434,Tina,Cardona,femenino,1-Ago-30
95524197,Ángel,Pineda,masculino,29-Jun-33
87375837,Abril,Ferrer,masculino,10-Dic-19
28255973,Lía,Pabón,femenino,28-Abr-32
38135357,Daniel,Santillán,masculino,2-Ene-32
69166364,Humberto,Espinal,masculino,29-Jun-32
44085566,Alexia,Garza,femenino,15-Dic-29
91058523,Gracias,Olivera,masculino,25-May-30
77745848,Álvaro,Muñoz,masculino,15-Jun-19
68874926,Thalía,Torres,femenino,17-Ago-31
78758437,Antonio,Rubio,masculino,10-Oct-30
35656258,Irene,Verdes,femenino,11-Nov-19
91697966,Urías,Pantoja,masculino,18-Jul-33
41248978,Luís,Tejada,masculino,27-Jun-32
45487899,Susana,Braza,femenino,28-Nov-32
84877321,Amaia,Briseño,femenino,2-May-30
83495281,Marcial,Sandoval,masculino,15-Abr-32
58578250,Agustín,Negrete,masculino,5-Oct-33
64554735,Nieves,Robles,masculino,6-Jul-30
58228252,Núria,Laureano,femenino,26-May-29
68266695,Quintín,Guajardo,masculino,21-Oct-32
35796989,Enrique,Varela,masculino,11-Ago-32
55895986,Nelson,Limón,masculino,22-Ago-33
80256748,Sergio,Porras,masculino,13-Feb-33
80777828,Astrid,Vega,masculino,29-Nov-33
44348237,Francisco,Loera,masculino,7-Dic-30
71255325,Cesar,Sedillo,masculino,28-Jul-29
41647968,Olga,Laureano,femenino,25-Dic-33
38824173,Melanio,Lerma,masculino,16-Ago-25
50847099,Josefa,Bueno,femenino,7-Abr-29
55538947,Emanuel,Saucedo,masculino,16-Mar-82
88035954,Adolfo,Ojeda,masculino,3-Jul-87
71738264,Nerea,Colunga,femenino,8-Jun-97
25756349,Jairo,Tovar,masculino,17-Jul-94
68468658,Kristina,Arroyo,femenino,8-Mar-82
51384878,Clemencia,Mendoza,femenino,4-Abr-92
35448059,Rocío,Quesada,femenino,19-Abr-96
61468395,Joaquín,Saenz,masculino,29-Nov-85
72146642,Flora,Montes,femenino,7-Feb-91
64096542,Pura,Esquivel,femenino,13-Abr-90
73448439,Gabriela,Guerrero,femenino,16-Oct-94
97056373,Violeta,Cruz,femenino,14-Jul-70
49347424,Felipe,Vélez,masculino,20-Nov-78
82597388,Clotilde,Carrillo,femenino,6-Jun-97
51238630,Octavio,Ocampo,masculino,26-Feb-92
45985173,Miguel,Chapa,masculino,4-Mar-90
65624326,Amalia,García,femenino,5-Jul-68
70386498,Evaristo,Corona,masculino,24-Abr-66
66157366,Blanca,Carrasco,femenino,14-May-67
71626465,Adrián,Gálvez,masculino,14-Mar-88
38136589,Roque,Rivas,masculino,9-Ago-00
20976489,Cintio,Luján,masculino,24-Nov-99
95347649,Gregoria,Tristán,femenino,4-Jun-85
39128556,Israel,Alcaraz,masculino,1-Feb-77
54388353,Matilda,Carbajal,femenino,13-Feb-98
29258994,Ágata,Alonso,femenino,6-May-83
61086345,Karen,Partida,femenino,24-Ago-64
49098686,Patricia,Agosto,femenino,16-May-83
55894739,Ernestina,Cepeda,femenino,12-Jul-72
71128522,Adriana,Rocha,femenino,24-May-86
37855283,Vicente,Leiva,masculino,23-Ene-98
64828198,Rocío,Salcedo,masculino,29-Oct-65
22967073,Dánae,Lebrón,masculino,4-Dic-88
98595380,Lucrecia,Maldonado,femenino,18-Jun-87
81967145,Érica,Casas,femenino,9-Nov-70
86496720,Lea,Arroyo,femenino,27-Abr-04
57895977,Elsa,Mújica,femenino,30-Abr-81
77387326,Wendy,Leiva,masculino,13-Abr-84
44225323,Rebeca,Segura,femenino,12-Mar-86
93864159,Quinto,Muñoz,masculino,11-Ene-69
88277577,Eloísa,Soto,femenino,31-Oct-90
28545520,Bianca,Arreola,femenino,21-Jul-73
80488277,Josefina,Cruz,femenino,30-Abr-69
29987256,Isaías,Rosales,masculino,20-Mar-67
35937162,Inmaculada,Escobar,femenino,12-Jun-02
37366950,Emanuel,Mesa,masculino,19-Oct-86
68238725,Rocío,Medina,femenino,5-Oct-82
95234823,Dora,Morales,femenino,26-Dic-78
51467167,Amelia,Vega,femenino,18-May-84
47238181,Armando,Sánchez,masculino,19-Dic-92
86376155,Gabriela,Barca,femenino,26-Mar-94
47766562,Maciela,Mata,femenino,4-Feb-84
86377351,Manuela,Flores,femenino,10-Feb-61
46697922,Marcos,Laureano,masculino,23-Dic-71
66886854,Vera,Olmos,femenino,17-Jul-78
37934357,León,Caballero,masculino,10-Ene-02
89174224,Conchi,Durán,masculino,9-May-65
52157197,Victoria,Valdivia,femenino,3-Abr-90
22496244,Camelia,Almanza,femenino,23-Oct-90
99365737,Normán,Pedrosa,masculino,27-May-89
23528056,Daniela,Vélez,femenino,14-Nov-96
50348971,Conrado,Quiñones,masculino,10-Feb-72
65484586,Andrés,Quintero,masculino,5-Mar-04
43196221,Maya,Méndez,femenino,27-Ago-80
57597864,Lara,Varela,femenino,28-Dic-86
51026369,Irati,Rodríguez,masculino,27-Oct-89
77554748,Atila,Godoy,femenino,18-Nov-74
51468263,Patrocinio,Castro,masculino,14-Jun-92
50344755,Araceli,Echevarría,masculino,28-Nov-00
39687380,Rafel,Nieves,masculino,6-Ene-92
32257721,Araceli,Manzanares,femenino,20-Mar-91
95446020,Loreto,Cepeda,masculino,4-Feb-81
47437958,Paula,Lara,femenino,7-Dic-64
51978854,Cecilia,Tejada,femenino,9-Jul-92
27377326,León,Batista,masculino,15-Dic-70
35864599,Camilo,Laderas,masculino,7-Feb-80
57378098,Cristóbal,Figueroa,masculino,18-May-89
76124540,Jeremías,Montés,masculino,14-May-67
54385437,Marlén,Farías,masculino,8-Oct-88
46737986,Alejandro,Trejo,masculino,22-Ago-87
77158848,Crístofer,Cabrera,masculino,30-Jul-06
39876069,Luisa,Liébanas,femenino,28-Feb-46
49584151,Leo,Gutiérrez,masculino,3-Jul-87
64668245,Antonio,Rocha,masculino,16-Feb-84
87558365,Fátima,Pina,femenino,10-Ene-32
54947626,Gracia,Collado,femenino,15-Mar-33
97448081,Cornelio,Vázquez,masculino,9-Oct-29
46224894,Dino,Ceballos,masculino,7-May-33
41374845,Lupe,Escalante,masculino,11-May-29
99347156,Margarita,Orellana,femenino,10-Mar-32
97364842,Karina,Padilla,femenino,6-Ene-32
89936439,Beltrán,Comino,masculino,2-Ene-25
94187774,Germán,Altamira,masculino,9-Nov-29
21095395,Faustina,Huerta,femenino,19-Abr-31
96036869,Elvira,Nieves,femenino,8-Jul-29
47124299,Dino,Saucedo,masculino,3-Ago-31
93358787,Luisa,Benítez,femenino,3-Ene-32
52275664,Olimpia,Pedraza,femenino,11-Nov-32
27827347,Miren,Gil,masculino,25-Jun-29
21788674,Benjamín,Saavedra,masculino,26-Dic-32
75427582,Gema,Olivera,femenino,20-Dic-31
61886168,Nina,Pérez,femenino,29-Dic-32
92854389,Luna,Delgado,femenino,24-Mar-30
64365831,Tirso,Marín,masculino,1-Abr-31
25635426,Higinio,Anguiano,masculino,30-Ago-25
78735163,Alan,Pérez,masculino,5-Ene-31
68685556,Valentina,Macías,femenino,28-Dic-29
55285226,Bernardina,Olmos,femenino,11-Ene-30
92995761,Justina,Vaca,femenino,21-Oct-33
80467739,Anastasia,Dávila,femenino,10-Dic-31
27887125,Leopoldo,Archuleta,masculino,5-Mar-31
50927120,Dolores,Treviño,masculino,23-Feb-33
57495169,Kevin,Lucio,masculino,28-Ene-30
87935092,Gabriela,Bustamante,femenino,19-Nov-31
95924062,Aria,Urbina,femenino,25-Jul-32
49925367,Raimon,Acosta,masculino,25-Mar-33
20638121,Silvia,Gil,femenino,24-Ago-30
23938723,Evaristo,Pérez,masculino,3-Nov-30
96094098,Cándido,Dávila,masculino,11-Jun-33
84438552,Cándida,Celaya,femenino,14-Ago-32
53854825,Nadia,Badillo,femenino,18-Feb-32
93674161,Karina,Suárez,femenino,14-Jun-32
85967766,Pedro,Nino,masculino,30-Dic-31
58766927,Ubaldo,Ávalos,masculino,16-Ago-31
98245835,Miguel,Curiel,masculino,14-Dic-31
27824127,Reyes,Coto,masculino,27-Dic-25
43097434,Coralía,Olivas,femenino,14-Nov-31
79786479,Ares,Espinosa,masculino,16-May-25
60745269,Miguelina,Agosto,femenino,4-Mar-29
77954223,Dimitri,Arcones,masculino,1-Ago-32
56924340,Benito,Marcos,masculino,22-Abr-31
69266774,Jonás,Toro,masculino,15-Jul-32
76176625,Anselmo,Zambrano,masculino,13-Jul-31
39286683,Hernando,Baeza,masculino,13-Jun-33
72066782,Dánae,Abrego,masculino,12-Mar-32
45895630,Pamela,Casanova,femenino,17-Jul-33
31548262,David,Cordero,masculino,29-Abr-25
32027126,Eleonor,Carranza,femenino,16-Dic-32
51674893,Begoña,Hinojosa,femenino,3-May-32
87846947,Fito,Trujillo,masculino,16-Ago-32
64375299,Karmele,Andante,masculino,11-Feb-33
60287284,Néstor,Mena,masculino,25-Jul-32
51188858,Alberto,Márquez,masculino,24-Mar-25
42556429,Natalia,Paredes,femenino,30-Ene-33
29334720,Salomé,Castillo,femenino,10-Abr-32
57776070,Héctor,Urías,masculino,1-Feb-31
26344831,Jairo,Castelo,masculino,13-Mar-30
28634126,Rafaela,Carvajal,femenino,5-May-33
98865039,Horacio,Nino,masculino,4-May-30
83937781,Melisa,Olivo,femenino,4-Oct-31
57465283,Joshua,Altamirano,femenino,25-Nov-31
63728095,Yasmina,Alfaro,femenino,29-May-31
70457474,Clarisa,Valle,femenino,22-Ago-33
64585644,Mafalda,Rojo,femenino,5-Ago-31
79387845,Gorka,Irizarri,femenino,5-Ene-30
90574646,Ivonne,Laureano,femenino,19-Jun-33
28266542,Mateo,Rodríguez,masculino,30-May-30
58234365,Isolda,Guardado,femenino,27-Jun-30
43994388,Manuela,Armenta,femenino,12-Dic-33
22164758,Federico,Callas,masculino,9-Ago-31
38344675,Pío,Olivares,masculino,7-Feb-32
62174397,Eulalia,Rolón,femenino,13-Feb-25
24937955,Valerio,Zayas,masculino,24-Jun-33
24798753,Alicia,Pizarro,femenino,3-Nov-32
39138485,Alfredo,Barajas,masculino,17-Abr-31
41277220,Adriano,Rolón,masculino,31-Oct-32
34358231,Ariadna,Hernández,femenino,4-Abr-32
82838793,Eloy,Alcántara,masculino,27-Dic-19
38058671,Aniceto,Toledo,masculino,9-Feb-31
62228835,Claudio,Aguilar,masculino,10-Feb-33
77174569,Dina,Cazares,femenino,6-Jul-33
55686181,Higinia,Concepción,femenino,31-Ene-32
47994746,Crístofer,Barraza,masculino,25-Nov-31
38844068,Donatella,Casas,femenino,8-Oct-19
80075877,Francisco,Alonso,masculino,5-Mar-30
41895637,David,Caraballo,masculino,15-Ago-33
36488766,Eleonora,Delgadillo,femenino,18-Mar-33
37145694,Leonor,Gómez,masculino,14-Jul-33
95577247,Ezequiel,Acevedo,masculino,30-Nov-30
24645271,Selena,Savoya,femenino,14-Oct-32
48344497,Iris,Campos,femenino,14-Jun-31
55995484,Petra,Vergara,femenino,15-Oct-30
63486549,Normán,Venegas,masculino,15-Mar-32
82866190,César,Gallardo,masculino,5-May-29
52525192,Elena,Padrón,femenino,22-Ago-30
22958598,Heriberto,Valderas,masculino,2-Ene-25
98385885,Gerardo,Viera,masculino,24-Feb-30
81064797,Unai,Reynoso,masculino,21-Ago-32
65874458,Judit,Rodríguez,masculino,24-Dic-33
55274272,César,Benítez,masculino,24-Dic-31
51057295,Goratze,Almaraz,masculino,23-May-33
32345938,Fernando,Limón,masculino,24-Dic-30
57826426,Kevin,Vera,masculino,21-Mar-53
58794497,Moisés,Lucio,masculino,5-Jul-87
45685871,Isolda,Lucero,femenino,9-Nov-67
87664731,Olvido,Godoy,masculino,29-Jul-83
57294239,Violeta,Galindo,femenino,29-May-92
57655151,Narciso,Vallés,masculino,11-Mar-59
68785328,Félix,Mendoza,masculino,13-Feb-99
64427870,Guido,Varela,masculino,23-Abr-93
38347558,Raúl,Mesa,masculino,5-Nov-72
43188340,Águeda,Urbina,femenino,6-Ago-33
98598384,Humberto,Torres,masculino,6-Mar-32
92024396,Circe,Grijalva,masculino,17-Nov-29
49878072,Adolfo,Barraza,masculino,7-Jun-29
89428091,Ricardo,Franco,masculino,30-Ene-32
47028862,Jeremías,Orozco,masculino,5-Feb-33
40477178,Leticia,Castillo,femenino,5-May-31
52486674,Yasir,Polanco,masculino,7-Dic-33
54426761,Adelina,Castaneda,femenino,19-May-30
82697437,Justa,Uribe,femenino,8-Ene-33
92447533,Bruna,Almonte,femenino,24-Dic-33
49376551,Felipe,Oquendo,masculino,18-Abr-25
41844497,Domingo,Jaime,masculino,15-Mar-30
40638385,Edith,González,masculino,20-Feb-33
53254877,Eusebio,Cano,masculino,11-May-31
49197663,Brígida,Rolón,femenino,6-Oct-32
41225071,Violeta,Arnelas,femenino,15-Mar-25
85464529,Débora,Ceja,femenino,14-Ago-29
22855766,Fidel,Ferrer,masculino,6-Dic-29
28155245,Sofía,Alba,femenino,20-Abr-33
89626253,Gerardo,Carrillo,masculino,5-Jul-31
23724532,América,Santiago,femenino,31-Ago-32
22156529,Germán,Vallejo,masculino,18-Oct-32
21877563,Ariadna,Salcedo,femenino,4-Feb-33
25777473,Lourdes,Villegas,masculino,17-Ene-33
24955763,Gisela,Maya,femenino,11-Jul-32
72968887,Horacio,Valverde,masculino,3-Feb-31
92164794,Ignacio,Liébanas,masculino,25-Mar-25
59427537,Elba,Durán,femenino,15-Feb-30
88087249,Dalma,Comejo,femenino,19-Jun-25
92378763,Héctor,Salcido,masculino,31-Ene-33
57657763,Mariano,Alejandro,masculino,1-Ene-33
87296661,Lucas,Nazario,masculino,12-Nov-32
89478564,Brígida,Sierra,femenino,2-Abr-31
99894046,Bautista,Espino,femenino,16-Ago-31
72927786,Lucas,Méndez,masculino,30-Abr-31
87587174,Gabriel,Osorio,masculino,1-Ene-31
34054777,Nora,Arroyo,femenino,26-Mar-32
32676924,Ingrid,Calvillo,masculino,3-Ago-31
69626246,Tito,Jáquez,masculino,6-Nov-33
37236874,Eulalio,García,masculino,22-Nov-31
73155661,Samuel,Escobar,masculino,20-Feb-29
68898865,Montano,Uribarri,masculino,19-Jun-33
87167434,Malena,Viera,femenino,16-Ago-32
25987167,Ana,Borrego,femenino,22-Dic-29
43564385,Lorena,Corral,femenino,24-Ene-32
56394450,Quique,Griego,masculino,25-Nov-30
95626236,Bartolomé,Rosales,masculino,1-Dic-33
92964587,Homero,Paredes,masculino,15-Jul-19
88788043,Hugo,Gámez,masculino,17-Feb-31
63587262,Gladis,Juárez,masculino,27-Nov-31
87357737,Natividad,Collazo,masculino,12-Dic-30
21677752,Cornelio,Marín,masculino,3-Oct-33
64125521,Eugenio,Aranda,masculino,8-Jun-19
49134342,Sandra,Orta,femenino,22-May-33
21145047,Luís,Velázquez,masculino,16-Feb-33
42875921,Ainhoa,Saavedra,femenino,5-Feb-33
98468962,Gustavo,Trejo,masculino,18-Ago-33
64548287,Elena,Argüello,femenino,11-May-19
96736132,Juanita,Guzmán,femenino,5-Ene-91
32988259,Hipólito,Fuentes,masculino,31-Oct-91
50235240,Luciano,Sosa,masculino,2-Ene-95
75066939,Eugenia,Burgos,femenino,12-Dic-33
48497898,Mirna,Callas,femenino,9-Ago-31
64334126,Gregorio,Acuna,masculino,7-Feb-32
63628853,Víctor,Huerta,masculino,13-Feb-25
92175721,Avelino,Pedroza,masculino,24-Jun-33
34898337,Yolanda,Saavedra,femenino,3-Nov-32
66197956,Teodoro,Llarnas,masculino,17-Abr-31
44748299,Heriberto,Ortega,masculino,31-Oct-32
81958228,Penélope,Carrero,masculino,4-Abr-32
32328549,Anselmo,Guardado,masculino,27-Dic-19
73445557,Paciente,Bravo,masculino,9-Feb-31
38558182,Mauro,Cortés,masculino,10-Feb-33
44696741,Carmelo,Ortega,masculino,6-Jul-33
25255687,Justo,Díaz,masculino,31-Ene-32
29225364,Sabina,Ornelas,femenino,25-Nov-31
72296952,Neftalí,Herrera,masculino,8-Oct-19
97138922,Elisa,Collazo,femenino,5-Mar-30
81857869,Carmín,Vera,masculino,3-Abr-01
97697339,Isaac,Cazares,masculino,27-Ene-89
77634723,Guiomar,Cuellar,masculino,7-Abr-96
34158056,Ramiro,Dávila,masculino,14-Feb-73
58257950,Unai,Rubalcaba,masculino,21-Jul-99
62028642,Nadal,Escalante,masculino,25-Ene-95
62994283,Karmele,Carbajal,masculino,21-Ene-01
35287092,Berta,Herrera,femenino,4-May-96
88335425,Alejandra,Duarte,femenino,22-Feb-73
86168362,Humberto,Chavarría,masculino,19-Oct-79
30455263,Rafaela,Marcos,femenino,15-Jul-84
59554561,Arturo,Rocarte,masculino,21-Ago-96
71128138,Reinaldo,Mireles,masculino,1-Dic-96
99097970,Arturo,Anguiano,masculino,16-May-84
43328288,José,Sánchez,masculino,24-May-03
30688145,Eva,Lara,femenino,31-Oct-32
20038456,Katia,Pino,femenino,4-Abr-32
94597067,Betsabé,Saldaña,masculino,27-Dic-19
42678288,Katia,Díaz,femenino,9-Feb-31
76767695,Baltasar,Luján,masculino,10-Feb-33
47755961,Diana,Serna,femenino,6-Jul-33
58626273,Josué,Solórzano,masculino,31-Ene-32
73124059,Débora,Cabrera,femenino,29-Mar-85
73365197,Hernán,Canales,masculino,23-Mar-61
34495786,Nuncio,Lugo,masculino,8-Abr-03
60594345,Lina,Sevilla,femenino,23-Jun-75
92895359,Casimira,Marín,femenino,16-Ago-80
55258398,Waldo,Nazario,masculino,20-Jun-84
93765257,Cintia,Salgado,femenino,13-Abr-85
35867941,Maite,Girón,masculino,14-Dic-77
29044584,Teresa,Olivera,femenino,7-Ene-77
73874375,Bárbara,Portillo,femenino,29-Jun-79
97776659,Rafa,Portillo,femenino,15-Feb-80
31048364,Anya,Espinoza,femenino,11-Ago-76
66166481,Telma,Valdomero,femenino,27-Oct-77
72365067,Eduardo,Méndez,masculino,16-Ene-79
26287727,Reinaldo,Córdova,masculino,12-Dic-77
58874921,Hilda,Contreras,femenino,1-Feb-77
25997568,Lola,Crespo,femenino,27-Ago-80
99136838,Alejandra,Banda,femenino,7-Feb-80
93136824,Sarai,Barrientos,masculino,28-Ene-76
63424648,Darío,Vallejo,masculino,11-Feb-77
95024822,Basilio,Ruiz,masculino,25-Jun-76
75634155,Josué,Delgado,masculino,18-Ene-76
82925532,Elisenda,Aguilar,femenino,13-Abr-76
58634861,Norma,Alemán,femenino,28-Nov-79
33567456,Mauricio,Salgado,masculino,25-Feb-77
55774875,Millán,Becerra,masculino,9-Jul-77
27885624,Nidia,Mena,femenino,30-Nov-80
70556662,Fuensanta,Barrios,femenino,26-Jun-77
78246771,Fidel,Badillo,masculino,26-Dic-79
76935231,Dafne,Sedillo,masculino,31-Ago-79
96764585,Renau,Saavedra,masculino,12-Ago-77
87694848,Maya,Tafoya,femenino,22-Oct-77
75166125,Jon,Rascón,masculino,13-Nov-77
38486633,Antonio,Lerma,masculino,31-Oct-77
26586735,Maricruz,Matos,femenino,31-May-80
53847951,Ciro,Becerra,masculino,7-Nov-80
83567852,Mirna,Aparicio,femenino,13-Jun-79
39056774,Osmundo,Montes,masculino,1-Oct-79
21535531,Isidora,Martín,femenino,9-Nov-80
99864582,Salvador,Calderón,masculino,19-Oct-79
32437299,Leticia,Flórez,femenino,16-Ago-80
91837483,Herminio,Díaz,masculino,1-May-77
67145952,Carina,Verdes,femenino,15-Abr-80
74664835,Piedad,Sosa,masculino,28-Feb-76
60088031,Lola,Cavazos,femenino,11-May-76
51375544,Buenaventura,Caldera,femenino,24-Dic-79
94746555,Cayetano,Aparicio,masculino,28-Ago-77
82978589,Victoria,Chavarría,femenino,19-Dic-80
69978869,Horacio,Armendáriz,masculino,13-Nov-79
53036857,Vanesa,Sarabia,femenino,22-Abr-77
28538197,Ignacio,Lobato,masculino,12-Ene-77
86238858,Gerardo,Almonta,masculino,9-Mar-76
36196172,Thiago,Olivares,masculino,29-Dic-77
53337449,Cornelio,Reina,masculino,9-Feb-79
83068027,Claudio,Gil,masculino,11-Oct-77
45968428,Víctor,Morales,masculino,1-Ago-76
94848632,Odón,Santiago,masculino,14-Jun-79
37625378,Augusto,Olivares,masculino,3-Mar-80
84026444,Adolfo,Lira,masculino,16-Jul-79
30844941,Flavio,Vergara,masculino,28-Abr-80
66076679,Tomasa,Urena,femenino,28-Ene-76
83697889,Naiara,Laboy,femenino,24-Feb-80
46555422,Helena,Llarnas,femenino,24-May-77
97085741,Gloria,Carrera,femenino,28-Abr-77
50927053,Alina,Anaya,femenino,21-Jul-76
42067289,Ulises,Lebrón,masculino,20-Oct-77
35475747,Sabino,Pérez,masculino,27-Jul-76
69338689,Samanta,Botello,femenino,5-Dic-76
38284388,Wendi,Valdés,femenino,8-May-77
88444131,Higinia,Horta,femenino,30-Abr-76
79057369,Ane,Lomeli,femenino,1-May-80
45036360,Rodolfo,Villaseñor,masculino,9-Mar-77
45435785,Romero,Arévalo,masculino,19-Feb-80
42848568,Maya,Tapia,femenino,16-Feb-80
38347248,Jessica,Ulloa,femenino,28-Feb-80
79084331,Joaquina,Meraz,femenino,23-Nov-76
57428363,Rodolfo,Molina,masculino,1-Nov-80
33695062,Dana,Sandoval,femenino,4-Jun-80
94276429,Jorge,Montero,masculino,7-Ago-79
51798557,Claudio,García,masculino,27-May-76
25644776,Asunción,Soto,femenino,12-Abr-76
20868842,Florida,Mascarenas,femenino,15-Abr-80
98755884,Joaquín,Apodaca,masculino,19-Feb-76
75584652,Noelia,Salas,femenino,9-Oct-77
78186089,Haydee,Ortega,femenino,10-Mar-77
61798993,Yanira,Acuna,femenino,9-Oct-77
87838228,Genoveva,Contreras,femenino,13-Dic-79
49138828,Blas,Alba,masculino,26-May-79
46474054,Juno,Guerrero,masculino,31-Oct-76
34967482,Arán,Maya,masculino,19-Mar-79
26228193,Amalia,Osorio,femenino,8-Nov-80
31878390,Isidoro,Salas,masculino,12-Ene-77
87325679,Saúl,Mendoza,masculino,11-Jun-80
94887353,Edith,Ojeda,masculino,10-Ago-76
33386999,Tino,Salinas,masculino,28-Mar-77
84934357,Alina,Casillas,femenino,5-Jul-80
94984569,Gregorio,Cuéllar,masculino,21-Ene-76
33235298,Modesto,Quiñones,masculino,11-May-76
24268467,Bartolomé,Camacho,masculino,2-Jun-77
44337834,Lázaro,Bernal,masculino,26-Nov-77
75897051,Flora,Armijo,femenino,4-Nov-77
35694664,Dulce,Beltrán,femenino,20-Nov-76
22544357,Herminia,Páez,femenino,21-Dic-77
48727956,Angélica,Jáquez,femenino,13-Jul-76
80796549,Adán,Atencio,masculino,22-Abr-79
63627030,Efraín,Collazo,masculino,30-Oct-77
35444585,Humberto,Montalvo,masculino,1-Jul-77
95395292,Mireia,Garay,femenino,26-Oct-77
27488972,Adriana,Téllez,femenino,4-Mar-79
37255842,Grecia,Batista,femenino,30-Ago-77
49876398,Dorotea,Treviño,femenino,24-Feb-76
76227972,Teodora,Atencio,femenino,29-Abr-76
21438793,Ara,Puente,femenino,14-Mar-80
54647964,Casandra,Mateo,femenino,4-May-80
30297940,Isaac,Sarabia,masculino,29-Feb-76
90557358,Claudio,Bañuelos,masculino,23-Mar-77
61348132,Karina,Cruz,femenino,1-Nov-77
54468578,José,Luís,masculino,9-Nov-80
87464033,Wendy,Morales,femenino,31-Jul-77
57054425,Estefanía,Ortiz,femenino,18-Mar-76
26168953,Valentina,Acuna,masculino,4-Abr-79
88834924,Guillermina,Lebrón,femenino,6-Ene-77
63336640,Dora,Cintas,femenino,11-Nov-76
25664647,Rocío,Chávez,femenino,15-Jul-79
53286388,León,Ávila,masculino,14-Ene-76
89244249,Maximiliano,Méndez,masculino,23-Feb-79
